Ion, Observed , Aki, Ek ,J
Fe II ,523.5032, ,110 167.303  , 7/2 
 , , , , 
Fe III ,523.5218,9.60E+06,198 821.58   ,6
Fe I ,523.53864,3.75E+06,51 969.101  ,3
Fe II ,523.5555, ,127 482.749  , 11/2 
Fe III ,523.5661,1.80E+07,166 421.54   ,4
Fe IV , ,1.50E-02,51 394.2    , 7/2 
 , , , , 
Fe I ,523.62038,2.58E+06,52 857.804  ,1
Fe II ,523.6548, ,127 482.749  , 11/2 
Fe II ,523.6621,1.28E+07,103 417.935  , 3/2 
Fe II ,523.6956, ,123 026.355  , 9/2 
Fe IV , ,8.00E-02,51 394.2    , 7/2 
 , , , , 
Fe II ,523.7949,3.09E+07,103 352.723  , 9/2 
Fe II ,523.93894, ,123 396.256  , 15/2 
Fe II ,523.98074,1.33E+07,103 406.327  , 5/2 
Fe II ,523.99398, ,122 910.924  , 15/2 
Fe I ,524.0355, ,45 428.402  ,4
 , , , , 
Fe II ,524.04, ,123 251.479  , 11/2 
Fe III ,524.0548,1.55E+07,219 472.12   ,4
Fe II ,524.058, ,77 742.736  , 5/2 
Fe II ,524.1054,7.90E+06,102 887.172  , 7/2 
Fe II ,524.11791, ,122 952.738  , 17/2 
 , , , , 
Fe III ,524.145,7.70E+06,198 821.58   ,6
Fe II ,524.1454, ,123 193.101  , 15/2 
Fe I ,524.24907,2.38E+06,48 382.603  ,5
Fe II ,524.318,8.00E+05,85 679.755  , 5/2 
Fe III ,524.3306,5.95E+07,166 421.54   ,4
 , , , , 
Fe I ,524.37766,2.00E+06,53 393.673  ,4
Fe II ,524.39227,3.90E+06,103 391.352  , 3/2 
Fe II ,524.50692, ,127 524.138  , 15/2 
Fe II ,524.5172,2.80E+06,103 326.445  , 9/2 
Fe II ,524.54, ,123 251.479  , 11/2 
 , , , , 
Fe II ,524.54544,8.70E+06,103 385.785  , 7/2 
Fe III ,524.6173,2.70E+06,198 717.71   ,4
Fe I ,524.70501,3.92E+02,19 757.032  ,3
Fe II ,524.75259, ,127 515.212  , 13/2 
Fe II ,524.79553,1.43E+08,103 988.001  , 5/2 
 , , , , 
Fe I ,524.91051,1.20E+06,55 124.938  ,3
Fe II ,524.9301, ,81 734.733  , 7/2 
Fe II ,524.934,1.55E+07,103 034.819  , 3/2 
Fe I ,525.02086,9.30E+02,20 019.635  ,1
Fe I ,525.06456,2.28E+05,36 766.966  ,3
 , , , , 
Fe II ,525.12252,8.00E+07,103 882.740  , 7/2 
Fe II ,525.13161, ,124 436.424  , 13/2 
Fe II ,525.1649, ,108 662.300  , 3/2 
Fe I ,525.19655, ,47 855.143  ,6
Fe II ,525.2692, ,121 863.975  , 13/2 
 , , , , 
Fe II ,525.2692, ,122 910.924  , 15/2 
Fe II ,525.3031, ,109 811.940  , 9/2 
Fe I ,525.34614,2.15E+06,45 509.152  ,1
Fe II ,525.35177,2.00E+06,103 326.445  , 9/2 
Fe II ,525.36484,1.48E+07,103 325.974  , 11/2 
 , , , , 
Fe II ,525.44014,1.04E+07,103 711.610  , 7/2 
Fe III ,525.451,7.10E+06,198 774.09   ,5
Fe I ,525.49551,8.31E+02,19 912.495  ,2
Fe I ,525.56651, ,53 061.318  ,5
Fe I ,525.57353, ,53 568.751  ,2
 , , , , 
Fe III ,525.6091, ,219 415.77   ,5
Fe II ,525.71189,3.45E+07,103 701.778  , 9/2 
Fe III ,525.723,6.40E+06,198 774.09   ,5
Fe I ,525.76549, ,47 834.550  ,5
Fe II ,525.78927,9.00E+06,103 340.699  , 7/2 
 , , , , 
Fe II ,525.8016, ,80 346.060  , 1/2 
Fe II ,525.8016,6.60E+05,103 698.515  , 5/2 
Fe II ,525.81212,7.40E+05,103 857.804  , 5/2 
Fe II ,525.81212,1.20E+07,103 437.327  , 1/2 
Fe II ,525.84196,3.20E+06,103 882.740  , 7/2 
 , , , , 
Fe II ,526.02544,1.85E+08,103 040.370  , 15/2 
Fe III ,526.034, , ,  
Fe II ,526.14557,3.50E+06,103 711.610  , 7/2 
Fe II ,526.1633,3.39E-01,21 430.3564 , 11/2 
Fe II ,526.2313,1.72E+07,104 046.419  , 5/2 
 , , , , 
Fe II , ,8.00E+01,44 784.7859 , 5/2 
Fe I ,526.28806,8.70E+04,45 220.681  ,3
Fe II ,526.29556,3.20E+06,103 680.689  , 9/2 
Fe I ,526.33059,6.36E+06,45 333.875  ,2
Fe II ,526.34905,6.70E+06,103 417.935  , 3/2 
 , , , , 
Fe I ,526.38646,1.96E+05,47 812.118  ,4
Fe II ,526.40195,1.10E+07,103 676.848  , 7/2 
Fe II ,526.41791,4.80E+07,103 701.778  , 9/2 
Fe II ,526.4801,3.50E+04,45 044.1916 , 3/2 
Fe I ,526.52436, ,43 325.964  ,3
 , , , , 
Fe II ,526.59808,2.30E+06,103 019.688  , 13/2 
Fe I ,526.6555,1.10E+07,43 163.326  ,4
Fe III ,526.666,1.30E+07,205 694.18   ,1
Fe III ,526.666,1.40E+06,198 658.96   ,3
Fe I ,526.727,6.77E+05,54 237.213  ,4
 , , , , 
Fe II ,526.84,4.40E+06,103 661.038  , 5/2 
Fe II ,526.8886,2.37E-01,21 812.0454 , 3/2 
Fe I ,526.906, ,59 815.558  ,2
Fe I ,526.9537,1.27E+06,25 899.989  ,4
Fe II ,527.00318,1.52E+07,103 680.689  , 9/2 
 , , , , 
Fe III ,527.03,4.25E-01,19 404.42   ,2
Fe I ,527.0356,3.67E+06,31 937.325  ,1
Fe II ,527.10984,2.10E+06,103 676.848  , 7/2 
Fe II ,527.22212,4.20E+06,102 952.170  , 5/2 
Fe III ,527.237,1.10E+07,166 252.93   ,3
 , , , , 
Fe II ,527.2413,3.90E+05,67 000.530  , 5/2 
Fe III ,527.298,1.04E+07,198 717.71   ,4
Fe III ,527.298,5.52E+07,198 848.60   ,7
Fe I ,527.31632,8.12E+06,45 509.152  ,1
Fe II ,527.3363,4.72E-01,20 830.5534 , 5/2 
 , , , , 
Fe I ,527.33732,5.55E+05,38 995.736  ,1
Fe III ,527.3657,5.60E+06,198 717.71   ,4
Fe II ,527.4531, ,123 018.433  , 15/2 
Fe I ,527.4981, ,51 825.773  ,3
Fe II ,527.59968,3.80E+05,44 753.8179 , 7/2 
 , , , , 
Fe III ,527.6475,3.00E+07,166 252.93   ,3
Fe VII ,527.656,4.96E-02,21 275.97   ,2
Fe III ,527.6782,9.00E+06,205 737.64   ,2
Fe III ,527.7298,7.00E+05,198 848.60   ,7
Fe VI , ,4.10E-03,18 942.0    , 3/2 
 , , , , 
Fe VI , ,1.30E-02,18 942.0    , 3/2 
Fe II ,527.8229,2.30E+06,103 364.897  , 5/2 
Fe II ,527.8381,8.20E-02,27 620.4033 , 5/2 
Fe I ,527.858, ,45 562.974  ,3
Fe II , ,2.10E-03,20 805.7632 , 9/2 
 , , , , 
Fe I ,528.03616,7.27E+05,48 304.643  ,2
Fe II ,528.0932,1.30E+06,103 869.046  , 3/2 
Fe I ,528.163, ,59 522.714  ,3
Fe I ,528.179,5.00E+06,43 434.627  ,3
Fe II ,528.2275, ,122 990.633  , 13/2 
 , , , , 
Fe III ,528.2295,3.81E+07,166 252.93   ,3
Fe II ,528.30839, ,123 238.446  , 15/2 
Fe II ,528.3115,1.33E-01,27 314.9183 , 7/2 
Fe I ,528.36207,1.02E+07,45 061.329  ,3
Fe II ,528.4073,1.70E+06,103 857.804  , 5/2 
 , , , , 
Fe II ,528.4092,1.90E+04,42 237.0575 , 7/2 
Fe I ,528.44245,8.29E+04,48 231.280  ,5
Fe I ,528.46083, ,52 682.920  ,2
Fe III ,528.483, ,198 821.58   ,6
Fe III ,528.483,4.80E+07,198 821.58   ,6
 , , , , 
Fe I ,528.51282,6.40E+05,54 683.322  ,4
Fe I ,528.85243,8.22E+05,48 702.535  ,4
Fe III ,528.9718,6.80E+06,198 658.96   ,3
Fe II ,529.00882, ,124 661.304  , 13/2 
Fe II ,529.0547, ,112 927.781  , 3/2 
 , , , , 
Fe I , ,2.20E-01,26 623.735  ,2
Fe II ,529.16609,6.90E+07,103 420.207  , 11/2 
Fe II ,529.28021, ,113 934.512  , 5/2 
Fe I ,529.3029,1.00E+05,54 266.716  ,5
Fe I ,529.39585,6.90E+05,52 296.920  ,2
 , , , , 
Fe I ,529.45478,7.30E+04,48 238.847  ,2
Fe III ,529.5033,5.20E+06,198 774.09   ,5
Fe I ,529.53118,7.30E+05,54 490.999  ,3
Fe II ,529.6421, ,127 524.138  , 15/2 
Fe II ,529.6844,1.11E-01,21 711.8963 , 7/2 
 , , , , 
Fe III ,529.8115,4.35E+07,198 774.09   ,5
Fe I ,529.87755,4.58E+05,48 238.847  ,2
Fe II ,529.88574,1.17E+07,103 711.610  , 7/2 
Fe II , ,3.70E-02,37 227.277  , 1/2 
Fe I ,529.8949, ,58 492.235  ,5
 , , , , 
Fe III ,529.9926,2.80E+07,166 144.81   ,2
Fe I ,530.2299,9.04E+06,45 333.875  ,2
Fe II ,530.25366,5.00E+06,103 698.515  , 5/2 
Fe III ,530.2599,3.10E+07,166 144.81   ,2
Fe XIV ,530.286,6.02E+01,18 852.5    , 3/2 
 , , , , 
Fe XIV , ,1.50E-02,18 852.5    , 3/2 
Fe III , ,2.10E-01,49 577.27   ,1
Fe III ,530.3722,6.70E+06,205 732.53   ,3
Fe I , ,4.60E-01,19 552.478  ,1
Fe I , ,1.80E-01,26 224.969  ,3
 , , , , 
Fe III ,530.442, ,136 796.90   ,3
Fe I ,530.4761, ,59 077.084  ,1
Fe II ,530.54221, ,127 893.010  , 15/2 
Fe I ,530.54223, ,48 163.446  ,2
Fe II ,530.6182,3.28E+07,103 711.610  , 7/2 
 , , , , 
Fe III ,530.6758,1.90E+07,166 144.81   ,2
Fe I ,530.73607,3.48E+04,31 805.071  ,3
Fe II ,530.83523, ,122 952.738  , 17/2 
Fe II ,530.98705,4.40E+06,103 698.515  , 5/2 
Fe III ,530.9923,5.48E+07,201 207.42   ,4
 , , , , 
Fe II ,531.0488, ,127 875.042  , 13/2 
Fe II ,531.06301,5.80E+06,103 352.723  , 9/2 
Fe III ,531.0877,3.60E+07,198 717.71   ,4
Fe II ,531.19092,5.60E+06,103 869.046  , 3/2 
Fe II ,531.30996,7.50E+06,103 661.038  , 5/2 
 , , , , 
Fe II ,531.40243,3.80E+06,103 340.699  , 7/2 
Fe I ,531.40246, ,61 724.829  ,4
Fe II ,531.50804,1.50E+07,103 857.804  , 5/2 
Fe I ,531.5771, ,48 163.446  ,2
Fe II ,531.59904,2.20E+06,103 676.848  , 7/2 
 , , , , 
Fe II ,531.62139,3.69E+07,102 840.320  , 13/2 
Fe II ,531.66098,3.90E+05,44 232.5398 , 9/2 
Fe II ,531.6777,6.00E+04,44 784.7859 , 5/2 
Fe II ,531.7561,2.40E+06,103 645.256  , 3/2 
Fe II ,531.80545,1.40E+07,103 326.445  , 9/2 
 , , , , 
Fe II ,531.87387,5.60E+06,102 831.393  , 11/2 
Fe II ,531.87387, ,113 481.304  , 3/2 
Fe III ,531.9186,7.60E+06,201 207.42   ,4
Fe I ,532.0035,1.50E+05,48 163.446  ,2
Fe II ,532.0158, ,115 030.664  , 9/2 
 , , , , 
Fe II ,532.0158, ,122 910.924  , 15/2 
Fe III ,532.08, ,205 672.08   ,4
Fe I ,532.11076,2.13E+06,54 555.418  ,4
Fe I ,532.18342, ,48 098.293  ,6
Fe I ,532.20404,5.29E+04,37 162.746  ,3
 , , , , 
Fe II ,532.22361,1.67E+07,103 110.835  , 3/2 
Fe III ,532.274,4.10E+07,198 658.96   ,3
Fe I ,532.41787,2.06E+07,44 677.006  ,4
Fe II ,532.50472, ,123 396.256  , 15/2 
Fe II ,532.5543,1.60E+04,44 753.8179 , 7/2 
 , , , , 
Fe I ,532.61424,2.22E+05,47 590.048  ,4
Fe I ,532.80383,1.15E+06,26 140.179  ,3
Fe I ,532.85313,4.74E+05,31 322.613  ,3
Fe II ,532.89359,4.50E+06,103 698.515  , 5/2 
Fe III ,532.9125, ,219 415.77   ,5
 , , , , 
Fe II ,532.96492,1.80E+06,103 024.341  , 5/2 
Fe I ,532.99887,1.29E+06,51 630.178  ,5
Fe III ,533.073,1.31E+07,198 333.92   ,6
Fe I ,533.26598,6.80E+05,52 512.457  ,1
Fe I ,533.28994,4.36E+04,31 307.245  ,4
 , , , , 
Fe II ,533.3661,2.78E-01,21 581.6151 , 9/2 
Fe III ,533.4334,3.70E+06,205 195.34   ,5
Fe VI , ,3.30E-04,18 738.3    , 1/2 
Fe VI , ,6.00E-02,18 738.3    , 1/2 
Fe II ,533.95943,5.50E+07,103 019.688  , 13/2 
 , , , , 
Fe I ,533.9929,6.36E+06,45 061.329  ,3
Fe II ,534.03023, ,128 110.204  , 13/2 
Fe III , ,1.50E-01,49 577.27   ,1
Fe III ,534.0535,2.60E+07,201 164.38   ,2
Fe I ,534.10237,5.21E+05,31 686.351  ,2
 , , , , 
Fe II ,534.41077,1.00E+07,103 645.256  , 3/2 
Fe III ,534.442,1.34E+07,198 336.81   ,5
Fe II ,534.5738,2.10E+06,103 125.717  , 1/2 
Fe II ,534.59536,2.70E+06,103 385.785  , 7/2 
Fe III ,534.6412,8.60E+06,205 002.60   ,3
 , , , , 
Fe II ,534.68578,1.03E+07,103 024.341  , 5/2 
Fe III ,534.688,4.80E+06,219 093.01   ,5
Fe III ,534.688,2.80E+07,201 178.15   ,1
Fe II ,534.71873,3.10E+07,103 869.046  , 3/2 
Fe II ,534.7663,7.20E-02,21 812.0454 , 3/2 
 , , , , 
Fe III ,534.849,1.90E+07,201 178.15   ,1
Fe I ,534.97373,1.40E+06,54 066.518  ,4
Fe II ,535.0539, ,106 841.688  , 3/2 
Fe III ,535.078,5.90E+07,201 170.25   ,0
Fe III ,535.078,1.80E+07,201 164.38   ,2
 , , , , 
Fe II ,535.19322,3.00E+06,103 364.897  , 5/2 
Fe III ,535.2134,8.40E+06,219 004.67   ,4
Fe III ,535.2656,1.28E+07,198 338.77   ,4
Fe II ,535.2683, ,123 270.356  , 11/2 
Fe II ,535.2683, ,81 639.253  , 5/2 
 , , , , 
Fe II ,535.30733,3.40E+06,102 942.256  , 7/2 
Fe II ,535.30733, ,123 441.099  , 11/2 
Fe II ,535.3188, ,122 990.633  , 13/2 
Fe II ,535.32538,7.60E+06,103 385.785  , 7/2 
Fe I ,535.33732, ,51 770.557  ,3
 , , , , 
Fe III ,535.3768,1.00E+06,205 672.08   ,4
Fe II ,535.3798, ,124 436.424  , 13/2 
Fe III ,535.4984, ,186 998.82   ,4
Fe II ,535.54209,7.40E+06,103 352.723  , 9/2 
Fe I , ,1.00E-03,19 552.478  ,1
 , , , , 
Fe II ,535.7086, ,123 427.132  , 11/2 
Fe III ,535.752,1.40E+07,198 337.17   ,3
Fe I ,535.8114, ,45 281.833  ,2
Fe II ,535.88719,7.10E+06,103 340.699  , 7/2 
Fe II ,535.92474,8.20E+06,103 364.897  , 5/2 
 , , , , 
Fe III ,536.026,1.10E+07,198 333.71   ,2
Fe II ,536.04795,1.01E+07,103 698.515  , 5/2 
Fe I ,536.16248,1.80E+06,54 257.502  ,2
Fe II , ,2.02E-02,20 516.9534 , 5/2 
Fe II ,536.27509,1.50E+07,103 352.723  , 9/2 
 , , , , 
Fe II ,536.29698,1.44E+07,103 326.445  , 9/2 
Fe III ,536.3353,4.55E+07,204 943.37   ,2
Fe III ,536.376,4.26E+07,205 092.61   ,4
Fe III ,536.376,4.90E+07,204 907.28   ,1
Fe I , ,2.00E-02,26 623.735  ,2
 , , , , 
Fe I ,536.48709,5.59E+07,54 490.999  ,3
Fe I ,536.53987,2.46E+06,47 452.717  ,4
Fe II ,536.62087,1.84E+07,103 340.699  , 7/2 
Fe II ,536.6877,8.00E+06,103 676.286  , 1/2 
Fe II ,536.6956, ,123 249.656  , 13/2 
 , , , , 
Fe II ,536.7132, ,106 836.190  , 7/2 
Fe I ,536.7466,7.13E+07,54 237.213  ,4
Fe III ,536.8059,4.51E+07,205 002.60   ,3
Fe II ,536.8911,2.20E+06,102 887.172  , 7/2 
Fe I ,536.99615,7.22E+07,53 874.257  ,5
 , , , , 
Fe II ,537.02772,6.30E+06,102 882.424  , 9/2 
Fe VI , ,1.30E-02,20 616.4    , 7/2 
Fe II ,537.03163,3.90E+06,103 326.445  , 9/2 
Fe II ,537.04338,4.90E+06,102 942.256  , 7/2 
Fe II ,537.079, ,102 340.464  , 11/2 
 , , , , 
Fe II ,537.12772,7.80E+06,103 661.038  , 5/2 
Fe I ,537.14893,1.05E+06,26 339.696  ,2
Fe III ,537.2412,5.90E+06,198 333.92   ,6
Fe II ,537.2538, ,86 124.348  , 9/2 
Fe I ,537.37082,3.70E+06,54 683.322  ,4
 , , , , 
Fe III ,537.547,5.29E+07,205 195.34   ,5
Fe II ,537.58423,1.15E+07,103 645.256  , 3/2 
Fe II ,537.58423,9.10E+06,102 893.426  , 11/2 
Fe II ,537.61358, ,122 910.924  , 15/2 
Fe II ,537.6466,3.04E-01,21 711.8963 , 7/2 
 , , , , 
Fe I ,537.6729, ,58 824.845  ,2
Fe I ,537.6833,4.00E+05,53 229.941  ,1
Fe II ,537.7724, ,123 355.521  , 13/2 
Fe III ,537.8212,5.10E+06,198 336.81   ,5
Fe I ,537.8511, ,61 724.829  ,4
 , , , , 
Fe III ,537.912,2.60E+06,198 333.92   ,6
Fe II ,537.9251,2.40E+06,102 851.394  , 9/2 
Fe I ,537.95737,6.41E+05,48 382.603  ,5
Fe III ,538.0441,4.30E+06,198 338.77   ,4
Fe III ,538.1,4.00E+06,198 336.81   ,5
 , , , , 
Fe III ,538.121,4.80E+06,198 338.77   ,4
Fe III ,538.121,3.00E+06,198 337.17   ,3
Fe III ,538.1696,4.70E+06,198 337.17   ,3
Fe I , ,7.90E-02,19 552.478  ,1
Fe III ,538.2356,1.50E+07,198 333.71   ,2
 , , , , 
Fe I ,538.33688,7.81E+07,53 352.989  ,6
Fe I ,538.5575,3.10E+04,48 361.882  ,4
Fe II ,538.5783, ,123 435.460  , 9/2 
Fe XIII , ,6.30E-03,18 561.0    ,2
Fe I ,538.63337,8.40E+05,52 067.469  ,2
 , , , , 
Fe I ,538.6959, ,47 929.997  ,4
Fe II ,538.70633,5.20E+07,103 421.213  , 13/2 
Fe I ,538.748,3.03E+05,51 969.101  ,3
Fe II ,538.80268,4.60E+06,102 851.394  , 9/2 
Fe III ,538.8399, ,186 883.11   ,3
 , , , , 
Fe II ,538.90321,1.90E+06,104 046.419  , 5/2 
Fe I ,538.94788, ,54 161.139  ,3
Fe V , ,1.10E-01,71 280.3    ,4
Fe II ,539.0201,3.10E+06,103 417.935  , 3/2 
Fe II ,539.0363,3.20E+06,103 391.352  , 3/2 
 , , , , 
Fe II ,539.1246,4.40E+05,102 840.320  , 13/2 
Fe I ,539.1246, ,47 363.376  ,6
Fe I ,539.14582, ,52 049.823  ,2
Fe I ,539.16222, ,47 855.143  ,6
Fe II ,539.1978,2.50E+06,103 385.785  , 7/2 
 , , , , 
Fe III ,539.2593,6.70E+06,218 923.31   ,3
Fe I ,539.31673,4.91E+06,44 677.006  ,4
Fe II ,539.3578,2.50E+06,103 406.327  , 5/2 
Fe II ,539.38401,1.08E+07,102 831.393  , 11/2 
Fe I ,539.5218,5.40E+05,54 386.186  ,1
 , , , , 
Fe II ,539.58546,5.50E+07,104 022.961  , 7/2 
Fe I ,539.71276,2.58E+05,25 899.989  ,4
Fe I ,539.72019, ,54 379.384  ,3
Fe I ,539.76175, ,47 834.550  ,5
Fe II ,539.79392,1.05E+07,103 391.352  , 3/2 
 , , , , 
Fe II ,539.80593,5.30E+06,103 364.897  , 5/2 
Fe I ,539.82791,9.00E+06,54 375.677  ,2
Fe I ,539.8815, ,58 921.963  ,2
Fe II ,539.894,1.80E+06,103 701.778  , 9/2 
Fe II ,539.95618,5.10E+06,103 385.785  , 7/2 
 , , , , 
Fe I ,540.05018, ,53 768.979  ,4
Fe I ,540.06555, ,47 831.153  ,2
Fe I ,540.12686,2.20E+05,53 352.989  ,6
Fe II ,540.18855,3.90E+06,103 969.814  , 7/2 
Fe II ,540.20576,5.60E+07,103 691.094  , 11/2 
 , , , , 
Fe III ,540.206,1.76E+07,219 162.56   ,6
Fe II ,540.23393, ,127 895.245  , 13/2 
Fe II ,540.28926,2.90E+07,103 676.286  , 1/2 
Fe I ,540.38212,1.92E+06,51 373.910  ,5
Fe I ,540.41168, ,53 281.689  ,5
 , , , , 
Fe I ,540.41513,6.92E+07,54 266.716  ,5
Fe II ,540.50921,2.10E+07,103 668.762  , 3/2 
Fe II ,540.50921,3.60E+06,103 680.689  , 9/2 
Fe I ,540.53496,8.45E+05,53 874.257  ,5
Fe II ,540.56611,1.38E+07,103 364.897  , 5/2 
 , , , , 
Fe I ,540.57749,1.09E+06,26 479.381  ,1
Fe I ,540.67747, ,53 747.500  ,3
Fe I ,540.7375, ,47 092.712  ,3
Fe II ,540.7989, ,123 251.479  , 11/2 
Fe I ,540.91332,1.10E+06,53 739.438  ,5
 , , , , 
Fe I ,541.09095,6.33E+07,54 555.418  ,4
Fe II ,541.13735, ,123 629.564  , 9/2 
Fe II ,541.13735,2.55E+07,103 969.814  , 7/2 
Fe II ,541.197,1.54E+07,103 645.256  , 3/2 
Fe III ,541.212,4.10E-02,19 404.42   ,2
 , , , , 
Fe II ,541.2675,3.60E-01,21 307.999  , 3/2 
Fe II ,541.27429,7.20E+06,103 340.699  , 7/2 
Fe I ,541.2785,4.86E+05,54 237.213  ,4
Fe I , ,2.20E-02,26 623.735  ,2
Fe II , ,4.10E-04,20 340.2461 , 11/2 
 , , , , 
Fe II ,541.3971, ,127 515.212  , 13/2 
Fe II ,541.4089,9.40E+03,44 446.9051 , 7/2 
Fe II ,541.48521,9.00E+06,103 325.974  , 11/2 
Fe I ,541.51989,7.67E+07,53 840.620  ,6
Fe III ,541.561, ,132 785.41   ,4
 , , , , 
Fe I ,541.70328,1.00E+06,54 066.773  ,2
Fe II ,541.7639,3.00E+06,103 391.352  , 3/2 
Fe II ,541.9734, ,128 071.181  , 11/2 
Fe III ,542, ,132 785.41   ,4
Fe III , ,2.80E-01,49 149.58   ,0
 , , , , 
Fe I ,542.3738, ,48 231.280  ,5
Fe I ,542.40678, ,53 275.183  ,7
Fe VI , ,1.80E-03,18 942.0    , 3/2 
Fe VI , ,3.30E-02,18 942.0    , 3/2 
Fe II ,542.5269,9.00E+03,44 232.5398 , 9/2 
 , , , , 
Fe III , ,6.80E-02,49 149.58   ,0
Fe VI , ,2.60E-03,19 610.8    , 5/2 
Fe VI , ,2.10E-02,19 610.8    , 5/2 
Fe III ,542.664,1.00E+07,218 860.76   ,2
Fe I , ,1.70E-01,26 406.465  ,1
 , , , , 
Fe II ,542.7818, ,122 355.101  , 9/2 
Fe II ,542.7818,5.90E+05,72 650.698  , 9/2 
Fe I ,542.95041,7.27E+06,52 214.345  ,1
Fe I ,542.96964,4.27E+05,26 140.179  ,3
Fe I ,542.98391, ,54 490.999  ,3
 , , , , 
Fe II ,542.99873,6.00E+07,103 874.040  , 9/2 
Fe II ,543.23149, ,123 168.704  , 13/2 
Fe I ,543.29475,4.30E+06,54 257.502  ,2
Fe II ,543.3149,1.65E-01,20 830.5534 , 5/2 
Fe I ,543.45235,1.70E+06,26 550.479  ,0
 , , , , 
Fe II ,543.603, ,104 873.232  , 7/2 
Fe I ,543.62954,7.70E+05,53 768.979  ,4
Fe I ,543.65958,3.50E+04,36 766.966  ,3
Fe II ,543.6653, ,108 775.110  , 11/2 
Fe I ,543.7192, ,53 169.146  ,6
 , , , , 
Fe I , ,5.30E-03,18 378.186  ,2
Fe II , ,1.01E-03,20 805.7632 , 9/2 
Fe II ,544.1056,1.40E+06,103 869.046  , 3/2 
Fe I ,544.13383,5.00E+05,53 155.145  ,4
Fe III ,544.191, ,186 791.91   ,2
 , , , , 
Fe II ,544.2258,1.70E+07,103 418.280  , 1/2 
Fe II ,544.23593,2.70E+07,103 417.935  , 3/2 
Fe II ,544.2642, ,122 990.633  , 13/2 
Fe II ,544.3227, ,72 429.675  , 1/2 
Fe II ,544.34443,4.80E+06,102 893.426  , 11/2 
 , , , , 
Fe II ,544.4387,2.53E+07,103 857.804  , 5/2 
Fe I ,544.50421, ,53 739.438  ,5
Fe II ,544.5298,3.30E+06,102 887.172  , 7/2 
Fe II ,544.58007,2.91E+07,103 406.327  , 5/2 
Fe I ,544.65826, ,53 966.662  ,2
 , , , , 
Fe I ,544.68743,2.50E+04,31 322.613  ,3
Fe I ,544.69164,5.48E+05,26 339.696  ,2
Fe II ,545.00949,2.26E+07,104 022.961  , 7/2 
Fe II , ,4.00E-03,37 227.277  , 1/2 
Fe II ,545.13167,8.40E+06,103 024.341  , 5/2 
 , , , , 
Fe II , ,8.70E-04,31 811.814  , 5/2 
Fe I ,545.20879, ,47 693.239  ,3
Fe I ,545.54541, ,53 169.146  ,6
Fe I ,545.56092,6.05E+05,26 479.381  ,1
Fe II ,545.59302,6.90E+06,102 851.394  , 9/2 
 , , , , 
Fe III ,545.7231, ,132 659.48   ,4
Fe II ,545.7421, ,73 189.114  , 3/2 
Fe II ,545.77218,2.71E+07,104 046.419  , 5/2 
Fe II ,546.0504,1.90E+06,103 988.001  , 5/2 
Fe III ,546.081, ,132 659.48   ,4
 , , , , 
Fe I ,546.0876, ,43 079.023  ,1
Fe I ,546.15495,4.20E+05,54 161.139  ,3
Fe I ,546.29591, ,54 379.384  ,3
Fe I ,546.32759,2.90E+07,54 066.518  ,4
Fe I ,546.42792,1.77E+06,51 708.307  ,2
 , , , , 
Fe II ,546.59322,6.20E+07,103 969.814  , 7/2 
Fe I ,546.63958, ,53 545.833  ,3
Fe II ,546.6912,7.50E+05,73 189.114  , 3/2 
Fe I ,546.69874,1.45E+05,47 106.484  ,4
Fe II ,546.71819, ,106 900.373  , 7/2 
 , , , , 
Fe II ,546.8822, ,123 435.460  , 9/2 
Fe I ,547.00936,1.20E+06,54 132.551  ,1
Fe I ,547.27087,2.37E+06,52 214.345  ,1
Fe II ,547.28544,7.10E+06,102 952.170  , 5/2 
Fe I ,547.3164,3.50E+05,52 067.469  ,2
 , , , , 
Fe II ,547.35808,1.60E+07,103 437.327  , 1/2 
Fe I ,547.39001,5.20E+06,51 770.557  ,3
Fe II ,547.51828,3.00E+06,103 988.001  , 5/2 
Fe II ,547.5826,2.31E+07,102 942.256  , 7/2 
Fe I ,547.62882,2.87E+06,51 668.186  ,4
 , , , , 
Fe I ,547.65639,8.70E+06,51 350.492  ,4
Fe II , ,5.70E-01,26 932.7348 , 1/2 
Fe I , ,8.20E-02,26 406.465  ,1
Fe III ,547.8, ,136 200.07   ,3
Fe II ,547.8038, ,123 460.713  , 9/2 
 , , , , 
Fe II ,547.8318,1.40E+06,103 711.610  , 7/2 
Fe I ,547.84552,6.80E+05,52 049.823  ,2
Fe III ,547.852,2.70E+06,206 261.53   ,4
Fe II ,547.93988,2.50E+07,103 417.935  , 3/2 
Fe I ,548.08604,1.30E+07,52 257.346  ,0
 , , , , 
Fe II ,548.09568,1.81E+07,103 110.835  , 3/2 
Fe I ,548.12427,1.41E+06,51 334.911  ,4
Fe II ,548.12714,1.17E+07,103 701.778  , 9/2 
Fe I ,548.14383,2.80E+06,52 039.892  ,1
Fe II ,548.1841,8.00E+04,108 537.623  , 7/2 
 , , , , 
Fe I ,548.1899, ,58 831.230  ,3
Fe II ,548.23051,4.80E+07,103 420.207  , 11/2 
Fe I ,548.2461, ,58 492.235  ,5
Fe I ,548.30985,1.74E+06,51 739.920  ,2
Fe III ,548.349,2.60E+06,204 943.37   ,2
 , , , , 
Fe II ,548.3861, ,123 037.483  , 11/2 
Fe VI , ,3.40E-02,18 738.3    , 1/2 
